"value","European Union & Foreign Affairs","Parliamentary Procedures","Environment & Energy","Health & Healthcare","Welfare & Social Housing","Education & Learning","Economy & Financial Services","Standards & Technology","Crime & Justice","Defence & Armed Forces","Immigration & Borders"
"Kate Hoey",0.399239543726236,0.503067484662577,0.54639175257732,0.535211267605634,0.603550295857988,0.564102564102564,0.495412844036697,0.271186440677966,0.468253968253968,0.490384615384615,0.488584474885845
"Nicky Morgan",0.380228136882129,0.128834355828221,0.350515463917526,0.253521126760563,0.153846153846154,0.282051282051282,0.55045871559633,0.745762711864407,0.825396825396825,0.605769230769231,0.538812785388128
"Ivan Lewis",0.752851711026616,0.815950920245399,0.577319587628866,0.464788732394366,0.579881656804734,0.58974358974359,0.688073394495413,0.288135593220339,0.396825396825397,0.490384615384615,0.484018264840183
"Kirstene Hair",0.349809885931559,0.466257668711656,0.505154639175258,0.450704225352113,0.473372781065089,0.512820512820513,0.697247706422018,0.644067796610169,0.46031746031746,0.557692307692308,0.506849315068493
"Seema Kennedy",0.307984790874525,0.47239263803681,0.463917525773196,0.450704225352113,0.372781065088757,0.384615384615385,0.715596330275229,0.694915254237288,0.5,0.557692307692308,0.520547945205479
"Kwasi  Kwarteng",0.543726235741445,0.496932515337423,0.515463917525773,0.492957746478873,0.502958579881657,0.512820512820513,0.495412844036697,0.423728813559322,0.46031746031746,0.490384615384615,0.502283105022831
"Jane Dodds",0.539923954372624,0.52760736196319,0.515463917525773,0.492957746478873,0.502958579881657,0.512820512820513,0.495412844036697,0.423728813559322,0.46031746031746,0.490384615384615,0.502283105022831
"David Lidington",0.258555133079848,0.214723926380368,0.494845360824742,0.492957746478873,0.343195266272189,0.435897435897436,0.761467889908257,0.576271186440678,0.658730158730159,0.528846153846154,0.534246575342466
"Emma Dent Coad",0.745247148288973,0.539877300613497,0.525773195876289,0.535211267605634,0.526627218934911,0.512820512820513,0.321100917431193,0.322033898305085,0.46031746031746,0.442307692307692,0.502283105022831
"Nick Herbert",0.330798479087452,0.47239263803681,0.463917525773196,0.464788732394366,0.408284023668639,0.358974358974359,0.752293577981651,0.677966101694915,0.452380952380952,0.576923076923077,0.525114155251142
"George Hollingbery",0.334600760456274,0.098159509202454,0.412371134020619,0.197183098591549,0.248520710059172,0.333333333333333,0.541284403669725,0.76271186440678,0.801587301587302,0.576923076923077,0.511415525114155
"Jeremy Lefroy",0.387832699619772,0.214723926380368,0.350515463917526,0.366197183098592,0.266272189349112,0.307692307692308,0.55045871559633,0.491525423728814,0.785714285714286,0.605769230769231,0.538812785388128
"Anne Milton",0.273764258555133,0.0797546012269939,0.443298969072165,0.549295774647887,0.242603550295858,0.333333333333333,0.486238532110092,0.694915254237288,0.825396825396825,0.567307692307692,0.557077625570776
"Jim Fitzpatrick",0.779467680608365,0.56441717791411,0.556701030927835,0.549295774647887,0.609467455621302,0.564102564102564,0.275229357798165,0.288135593220339,0.444444444444444,0.451923076923077,0.479452054794521
"Patrick McLoughlin",0.26615969581749,0.128834355828221,0.505154639175258,0.535211267605634,0.319526627218935,0.58974358974359,0.440366972477064,0.711864406779661,0.746031746031746,0.557692307692308,0.552511415525114
"Richard Burden",0.836501901140684,0.730061349693252,0.618556701030928,0.492957746478873,0.715976331360947,0.487179487179487,0.532110091743119,0.355932203389831,0.214285714285714,0.461538461538462,0.447488584474886
"Hugo Swire",0.319391634980989,0.184049079754601,0.45360824742268,0.563380281690141,0.355029585798817,0.564102564102564,0.44954128440367,0.728813559322034,0.714285714285714,0.538461538461538,0.54337899543379
"David Tredinnick",0.285171102661597,0.122699386503067,0.43298969072165,0.47887323943662,0.230769230769231,0.41025641025641,0.513761467889908,0.796610169491525,0.80952380952381,0.576923076923077,0.579908675799087
"Caroline Spelman",0.32319391634981,0.300613496932515,0.474226804123711,0.52112676056338,0.242603550295858,0.282051282051282,0.495412844036697,0.525423728813559,0.76984126984127,0.634615384615385,0.529680365296804
"Sarah Newton",0.346007604562738,0.153374233128834,0.360824742268041,0.225352112676056,0.189349112426035,0.307692307692308,0.55045871559633,0.745762711864407,0.825396825396825,0.605769230769231,0.54337899543379
"Claire Perry",0.311787072243346,0.128834355828221,0.474226804123711,0.197183098591549,0.236686390532544,0.384615384615385,0.458715596330275,0.745762711864407,0.873015873015873,0.596153846153846,0.534246575342466
"Edward Vaizey",0.342205323193916,0.159509202453988,0.43298969072165,0.450704225352113,0.254437869822485,0.435897435897436,0.330275229357798,0.593220338983051,0.642857142857143,0.557692307692308,0.561643835616438
"Mark Prisk",0.262357414448669,0.110429447852761,0.443298969072165,0.591549295774648,0.260355029585799,0.461538461538462,0.522935779816514,0.728813559322034,0.76984126984127,0.538461538461538,0.557077625570776
"Jenny Chapman",0.768060836501901,0.865030674846626,0.690721649484536,0.76056338028169,0.769230769230769,0.743589743589744,0.394495412844037,0.271186440677966,0.158730158730159,0.403846153846154,0.474885844748858
"Nicholas Soames",0.315589353612167,0.460122699386503,0.484536082474227,0.436619718309859,0.420118343195266,0.333333333333333,0.688073394495413,0.661016949152542,0.523809523809524,0.567307692307692,0.525114155251142
"Ross Thomson",0.319391634980989,0.466257668711656,0.505154639175258,0.450704225352113,0.473372781065089,0.512820512820513,0.697247706422018,0.644067796610169,0.46031746031746,0.557692307692308,0.506849315068493
"Heidi Allen",0.365019011406844,0.50920245398773,0.463917525773196,0.492957746478873,0.366863905325444,0.358974358974359,0.660550458715596,0.576271186440678,0.555555555555556,0.557692307692308,0.515981735159817
"Mark  Spencer",0.543726235741445,0.496932515337423,0.515463917525773,0.492957746478873,0.502958579881657,0.512820512820513,0.495412844036697,0.423728813559322,0.46031746031746,0.490384615384615,0.502283105022831
"Roger Godsiff",0.741444866920152,0.760736196319018,0.65979381443299,0.507042253521127,0.63905325443787,0.461538461538462,0.36697247706422,0.338983050847458,0.30952380952381,0.442307692307692,0.479452054794521
"Caroline Flint",0.745247148288973,0.822085889570552,0.597938144329897,0.436619718309859,0.698224852071006,0.564102564102564,0.559633027522936,0.355932203389831,0.30952380952381,0.538461538461538,0.45662100456621
"Ann Clwyd",0.847908745247148,0.638036809815951,0.536082474226804,0.535211267605634,0.692307692307692,0.615384615384615,0.513761467889908,0.491525423728814,0.253968253968254,0.519230769230769,0.424657534246575
