about,title,date_value,search_url,
104460,"Local Democracy, Economic Development and Construction Bill (Lords), Question put, That the Bill be now read the Third time",13/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-13&endDate=2009-10-13&searchTerm=Local Demo&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,"Local Democracy, Economic Development and Construction Bill [Lords] 2009-10-13.txt"
104451,"Health Bill (Lords), Question put, That the new clause 12 be read a Second time",12/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-12&endDate=2009-10-12&searchTerm=Health Bil&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Health Bill [Lords] 2009-10-12.txt
104452,"Health Bill (Lords), Question put, That the clause be read a Second time",12/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-12&endDate=2009-10-12&searchTerm=Health Bil&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Health Bill [Lords] 2009-10-12.txt
104454,"Health Bill (Lords), Question put, That the amendment be made",12/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-12&endDate=2009-10-12&searchTerm=Health Bil&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Health Bill [Lords] 2009-10-12.txt
104455,"Health Bill (Lords), The Deputy Speaker then put forthwith the Questions necessary for the disposal of the business to be concluded at that time (Standing Order No. 83E",12/10/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-10-12&endDate=2009-10-12&searchTerm=Health Bil&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Health Bill [Lords] 2009-10-12.txt
104448,"Issue of Writ, (Glasgow, North East by-election), Question put, That the amendment be made to; To leave out from “That” to the end of the Question and add “this House do pass to the Orders of the Day.”",21/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-21&endDate=2009-07-21&searchTerm=Issue of W&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Issue of Writ 2009-07-21.txt
104449,"Parliamentary Steandards Bill (Programme) (No. 2) Motion made, and Question put forthwith (Standing Order No. 83 (7) A)",21/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-21&endDate=2009-07-21&searchTerm=Parliament&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
104450,"Parliamentary Standards Bill, The Deputy Speaker put forthwith the Question already proposed from the Chair (Standing Order No. 83 F ) , That amendment (a) to Lords amendment 1 be made",21/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-21&endDate=2009-07-21&searchTerm=Parliament&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Parliamentary Standards Bill 2009-07-21.txt
104446,"Select Committee on Reform of the House of Commons,The Parliamentary Secretary to the Treasury (Mr. Nicholas Brown) claimed to move the closure (Standing Order No.36). Question put forthwith, That the Question be now put",20/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-20&endDate=2009-07-20&searchTerm=Select Com&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Select Committee on Reform of the House of Commons 2009-07-20.txt
104447,"Select Committee on Reform of the House of Commons, Question put accordingly , That the amendment be made",20/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-20&endDate=2009-07-20&searchTerm=Select Com&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Select Committee on Reform of the House of Commons 2009-07-20.txt
104443,East Midlands Regional Grand Committee take questions under Standing Order No. 117B (Regional Grand Committees (questions for oral answer),15/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-15&endDate=2009-07-15&searchTerm=East Midla&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
104444,"US-UK Extradition Treaty, Question put (Standing Order No. 31(2), That the original words stand part of the Question",15/07/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-07-15&endDate=2009-07-15&searchTerm=US-UK Extr&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,US-UK Extradition Treaty 2009-07-15.txt
